,cnty_fips,display_name,Y,theme_range,gender,race,year
147,48295,"""Lipscomb, (TX)""",-1.0,,1,2,2006-2008
148,48297,"""Live Oak, (TX)""",-1.0,,1,2,2006-2008
149,48299,"""Llano, (TX)""",-1.0,,1,2,2006-2008
150,48301,"""Loving, (TX)""",-1.0,,1,2,2006-2008
151,48303,"""Lubbock, (TX)""",41.2,34.7 - 44.9 (13),1,2,2006-2008
152,48305,"""Lynn, (TX)""",-1.0,,1,2,2006-2008
153,48307,"""McCulloch, (TX)""",-1.0,,1,2,2006-2008
154,48309,"""McLennan, (TX)""",23.4,12.1 - 23.9 (13),1,2,2006-2008
155,48311,"""McMullen, (TX)""",-1.0,,1,2,2006-2008
156,48313,"""Madison, (TX)""",-1.0,,1,2,2006-2008
157,48315,"""Marion, (TX)""",-1.0,,1,2,2006-2008
158,48317,"""Martin, (TX)""",-1.0,,1,2,2006-2008
159,48319,"""Mason, (TX)""",-1.0,,1,2,2006-2008
160,48321,"""Matagorda, (TX)""",20.5,12.1 - 23.9 (13),1,2,2006-2008
161,48323,"""Maverick, (TX)""",-1.0,,1,2,2006-2008
162,48325,"""Medina, (TX)""",-1.0,,1,2,2006-2008
163,48327,"""Menard, (TX)""",-1.0,,1,2,2006-2008
164,48329,"""Midland, (TX)""",21.3,12.1 - 23.9 (13),1,2,2006-2008
165,48331,"""Milam, (TX)""",-1.0,,1,2,2006-2008
166,48333,"""Mills, (TX)""",-1.0,,1,2,2006-2008
167,48335,"""Mitchell, (TX)""",-1.0,,1,2,2006-2008
168,48337,"""Montague, (TX)""",-1.0,,1,2,2006-2008
169,48339,"""Montgomery, (TX)""",21.9,12.1 - 23.9 (13),1,2,2006-2008
170,48341,"""Moore, (TX)""",-1.0,,1,2,2006-2008
171,48343,"""Morris, (TX)""",27.3,24.0 - 28.1 (13),1,2,2006-2008
172,48345,"""Motley, (TX)""",-1.0,,1,2,2006-2008
173,48347,"""Nacogdoches, (TX)""",46.4,45.0 - 62.6 (12),1,2,2006-2008
174,48349,"""Navarro, (TX)""",20.6,12.1 - 23.9 (13),1,2,2006-2008
175,48351,"""Newton, (TX)""",-1.0,,1,2,2006-2008
176,48353,"""Nolan, (TX)""",-1.0,,1,2,2006-2008
177,48355,"""Nueces, (TX)""",31.1,28.2 - 34.6 (12),1,2,2006-2008
178,48357,"""Ochiltree, (TX)""",-1.0,,1,2,2006-2008
179,48359,"""Oldham, (TX)""",-1.0,,1,2,2006-2008
180,48361,"""Orange, (TX)""",62.6,45.0 - 62.6 (12),1,2,2006-2008
181,48363,"""Palo Pinto, (TX)""",-1.0,,1,2,2006-2008
182,48365,"""Panola, (TX)""",-1.0,,1,2,2006-2008
183,48367,"""Parker, (TX)""",-1.0,,1,2,2006-2008
184,48369,"""Parmer, (TX)""",-1.0,,1,2,2006-2008
185,48371,"""Pecos, (TX)""",-1.0,,1,2,2006-2008
186,48373,"""Polk, (TX)""",43.5,34.7 - 44.9 (13),1,2,2006-2008
187,48375,"""Potter, (TX)""",20.5,12.1 - 23.9 (13),1,2,2006-2008
188,48377,"""Presidio, (TX)""",-1.0,,1,2,2006-2008
189,48379,"""Rains, (TX)""",-1.0,,1,2,2006-2008
190,48381,"""Randall, (TX)""",-1.0,,1,2,2006-2008
191,48383,"""Reagan, (TX)""",-1.0,,1,2,2006-2008
192,48385,"""Real, (TX)""",-1.0,,1,2,2006-2008
193,48387,"""Red River, (TX)""",57.2,45.0 - 62.6 (12),1,2,2006-2008
194,48389,"""Reeves, (TX)""",-1.0,,1,2,2006-2008
195,48391,"""Refugio, (TX)""",-1.0,,1,2,2006-2008
196,48393,"""Roberts, (TX)""",-1.0,,1,2,2006-2008
197,48395,"""Robertson, (TX)""",40.4,34.7 - 44.9 (13),1,2,2006-2008
198,48397,"""Rockwall, (TX)""",-1.0,,1,2,2006-2008
199,48399,"""Runnels, (TX)""",-1.0,,1,2,2006-2008
200,48401,"""Rusk, (TX)""",31.6,28.2 - 34.6 (12),1,2,2006-2008
201,48403,"""Sabine, (TX)""",-1.0,,1,2,2006-2008
202,48405,"""San Augustine, (TX)""",45.0,45.0 - 62.6 (12),1,2,2006-2008
203,48407,"""San Jacinto, (TX)""",61.4,45.0 - 62.6 (12),1,2,2006-2008
204,48409,"""San Patricio, (TX)""",-1.0,,1,2,2006-2008
205,48411,"""San Saba, (TX)""",-1.0,,1,2,2006-2008
206,48413,"""Schleicher, (TX)""",-1.0,,1,2,2006-2008
207,48415,"""Scurry, (TX)""",-1.0,,1,2,2006-2008
208,48417,"""Shackelford, (TX)""",-1.0,,1,2,2006-2008
209,48419,"""Shelby, (TX)""",47.3,45.0 - 62.6 (12),1,2,2006-2008
210,48421,"""Sherman, (TX)""",-1.0,,1,2,2006-2008
211,48423,"""Smith, (TX)""",25.3,24.0 - 28.1 (13),1,2,2006-2008
212,48425,"""Somervell, (TX)""",-1.0,,1,2,2006-2008
213,48427,"""Starr, (TX)""",-1.0,,1,2,2006-2008
214,48429,"""Stephens, (TX)""",-1.0,,1,2,2006-2008
215,48431,"""Sterling, (TX)""",-1.0,,1,2,2006-2008
216,48433,"""Stonewall, (TX)""",-1.0,,1,2,2006-2008
217,48435,"""Sutton, (TX)""",-1.0,,1,2,2006-2008
218,48437,"""Swisher, (TX)""",-1.0,,1,2,2006-2008
219,48439,"""Tarrant, (TX)""",25.8,24.0 - 28.1 (13),1,2,2006-2008
220,48441,"""Taylor, (TX)""",-1.0,,1,2,2006-2008
221,48443,"""Terrell, (TX)""",-1.0,,1,2,2006-2008
222,48445,"""Terry, (TX)""",-1.0,,1,2,2006-2008
223,48447,"""Throckmorton, (TX)""",-1.0,,1,2,2006-2008
224,48449,"""Titus, (TX)""",-1.0,,1,2,2006-2008
225,48451,"""Tom Green, (TX)""",-1.0,,1,2,2006-2008
226,48453,"""Travis, (TX)""",28.2,28.2 - 34.6 (12),1,2,2006-2008
227,48455,"""Trinity, (TX)""",49.6,45.0 - 62.6 (12),1,2,2006-2008
228,48457,"""Tyler, (TX)""",-1.0,,1,2,2006-2008
229,48459,"""Upshur, (TX)""",35.8,34.7 - 44.9 (13),1,2,2006-2008
230,48461,"""Upton, (TX)""",-1.0,,1,2,2006-2008
231,48463,"""Uvalde, (TX)""",-1.0,,1,2,2006-2008
232,48465,"""Val Verde, (TX)""",-1.0,,1,2,2006-2008
233,48467,"""Van Zandt, (TX)""",-1.0,,1,2,2006-2008
234,48469,"""Victoria, (TX)""",36.1,34.7 - 44.9 (13),1,2,2006-2008
235,48471,"""Walker, (TX)""",34.6,28.2 - 34.6 (12),1,2,2006-2008
236,48473,"""Waller, (TX)""",33.5,28.2 - 34.6 (12),1,2,2006-2008
237,48475,"""Ward, (TX)""",-1.0,,1,2,2006-2008
238,48477,"""Washington, (TX)""",32.7,28.2 - 34.6 (12),1,2,2006-2008
239,48479,"""Webb, (TX)""",-1.0,,1,2,2006-2008
240,48481,"""Wharton, (TX)""",20.7,12.1 - 23.9 (13),1,2,2006-2008
241,48483,"""Wheeler, (TX)""",-1.0,,1,2,2006-2008
242,48485,"""Wichita, (TX)""",12.1,12.1 - 23.9 (13),1,2,2006-2008
243,48487,"""Wilbarger, (TX)""",-1.0,,1,2,2006-2008
244,48489,"""Willacy, (TX)""",-1.0,,1,2,2006-2008
245,48491,"""Williamson, (TX)""",22.7,12.1 - 23.9 (13),1,2,2006-2008
246,48493,"""Wilson, (TX)""",-1.0,,1,2,2006-2008
247,48495,"""Winkler, (TX)""",-1.0,,1,2,2006-2008
248,48497,"""Wise, (TX)""",-1.0,,1,2,2006-2008
249,48499,"""Wood, (TX)""",-1.0,,1,2,2006-2008
250,48501,"""Yoakum, (TX)""",-1.0,,1,2,2006-2008
251,48503,"""Young, (TX)""",-1.0,,1,2,2006-2008
252,48505,"""Zapata, (TX)""",-1.0,,1,2,2006-2008
253,48507,"""Zavala, (TX)""",-1.0,,1,2,2006-2008
0,48001,"""Anderson, (TX)""",-1.0,,1,3,2006-2008
1,48003,"""Andrews, (TX)""",-1.0,,1,3,2006-2008
2,48005,"""Angelina, (TX)""",-1.0,,1,3,2006-2008
3,48007,"""Aransas, (TX)""",-1.0,,1,3,2006-2008
4,48009,"""Archer, (TX)""",-1.0,,1,3,2006-2008
5,48011,"""Armstrong, (TX)""",-1.0,,1,3,2006-2008
6,48013,"""Atascosa, (TX)""",-1.0,,1,3,2006-2008
7,48015,"""Austin, (TX)""",-1.0,,1,3,2006-2008
8,48017,"""Bailey, (TX)""",-1.0,,1,3,2006-2008
9,48019,"""Bandera, (TX)""",-1.0,,1,3,2006-2008
10,48021,"""Bastrop, (TX)""",-1.0,,1,3,2006-2008
11,48023,"""Baylor, (TX)""",-1.0,,1,3,2006-2008
12,48025,"""Bee, (TX)""",64.1,44.4 - 93.8 (6),1,3,2006-2008
13,48027,"""Bell, (TX)""",-1.0,,1,3,2006-2008
14,48029,"""Bexar, (TX)""",28.9,27.9 - 31.1 (6),1,3,2006-2008
15,48031,"""Blanco, (TX)""",-1.0,,1,3,2006-2008
16,48033,"""Borden, (TX)""",-1.0,,1,3,2006-2008
17,48035,"""Bosque, (TX)""",-1.0,,1,3,2006-2008
18,48037,"""Bowie, (TX)""",-1.0,,1,3,2006-2008
19,48039,"""Brazoria, (TX)""",-1.0,,1,3,2006-2008
20,48041,"""Brazos, (TX)""",-1.0,,1,3,2006-2008
21,48043,"""Brewster, (TX)""",-1.0,,1,3,2006-2008
22,48045,"""Briscoe, (TX)""",-1.0,,1,3,2006-2008
23,48047,"""Brooks, (TX)""",93.8,44.4 - 93.8 (6),1,3,2006-2008
24,48049,"""Brown, (TX)""",-1.0,,1,3,2006-2008
25,48051,"""Burleson, (TX)""",-1.0,,1,3,2006-2008
26,48053,"""Burnet, (TX)""",-1.0,,1,3,2006-2008
27,48055,"""Caldwell, (TX)""",-1.0,,1,3,2006-2008
28,48057,"""Calhoun, (TX)""",-1.0,,1,3,2006-2008
29,48059,"""Callahan, (TX)""",-1.0,,1,3,2006-2008
30,48061,"""Cameron, (TX)""",30.2,27.9 - 31.1 (6),1,3,2006-2008
31,48063,"""Camp, (TX)""",-1.0,,1,3,2006-2008
32,48065,"""Carson, (TX)""",-1.0,,1,3,2006-2008
33,48067,"""Cass, (TX)""",-1.0,,1,3,2006-2008
34,48069,"""Castro, (TX)""",-1.0,,1,3,2006-2008
35,48071,"""Chambers, (TX)""",-1.0,,1,3,2006-2008
36,48073,"""Cherokee, (TX)""",-1.0,,1,3,2006-2008
37,48075,"""Childress, (TX)""",-1.0,,1,3,2006-2008
38,48077,"""Clay, (TX)""",-1.0,,1,3,2006-2008
39,48079,"""Cochran, (TX)""",-1.0,,1,3,2006-2008
40,48081,"""Coke, (TX)""",-1.0,,1,3,2006-2008
41,48083,"""Coleman, (TX)""",-1.0,,1,3,2006-2008
42,48085,"""Collin, (TX)""",-1.0,,1,3,2006-2008
43,48087,"""Collingsworth, (TX)""",-1.0,,1,3,2006-2008
44,48089,"""Colorado, (TX)""",-1.0,,1,3,2006-2008
45,48091,"""Comal, (TX)""",-1.0,,1,3,2006-2008
46,48093,"""Comanche, (TX)""",-1.0,,1,3,2006-2008
47,48095,"""Concho, (TX)""",-1.0,,1,3,2006-2008
48,48097,"""Cooke, (TX)""",-1.0,,1,3,2006-2008
49,48099,"""Coryell, (TX)""",-1.0,,1,3,2006-2008
50,48101,"""Cottle, (TX)""",-1.0,,1,3,2006-2008
51,48103,"""Crane, (TX)""",-1.0,,1,3,2006-2008
52,48105,"""Crockett, (TX)""",-1.0,,1,3,2006-2008
53,48107,"""Crosby, (TX)""",-1.0,,1,3,2006-2008
54,48109,"""Culberson, (TX)""",-1.0,,1,3,2006-2008
55,48111,"""Dallam, (TX)""",-1.0,,1,3,2006-2008
56,48113,"""Dallas, (TX)""",12.9,12.9 - 21.1 (6),1,3,2006-2008
57,48115,"""Dawson, (TX)""",-1.0,,1,3,2006-2008
58,48117,"""Deaf Smith, (TX)""",-1.0,,1,3,2006-2008
59,48119,"""Delta, (TX)""",-1.0,,1,3,2006-2008
60,48121,"""Denton, (TX)""",-1.0,,1,3,2006-2008
61,48123,"""DeWitt, (TX)""",-1.0,,1,3,2006-2008
62,48125,"""Dickens, (TX)""",-1.0,,1,3,2006-2008
63,48127,"""Dimmit, (TX)""",40.4,31.2 - 44.3 (6),1,3,2006-2008
64,48129,"""Donley, (TX)""",-1.0,,1,3,2006-2008
65,48131,"""Duval, (TX)""",21.7,21.2 - 27.8 (6),1,3,2006-2008
66,48133,"""Eastland, (TX)""",-1.0,,1,3,2006-2008
67,48135,"""Ector, (TX)""",27.9,27.9 - 31.1 (6),1,3,2006-2008
68,48137,"""Edwards, (TX)""",-1.0,,1,3,2006-2008
69,48139,"""Ellis, (TX)""",-1.0,,1,3,2006-2008
70,48141,"""El Paso, (TX)""",14.8,12.9 - 21.1 (6),1,3,2006-2008
71,48143,"""Erath, (TX)""",-1.0,,1,3,2006-2008
72,48145,"""Falls, (TX)""",-1.0,,1,3,2006-2008
73,48147,"""Fannin, (TX)""",-1.0,,1,3,2006-2008
74,48149,"""Fayette, (TX)""",-1.0,,1,3,2006-2008
75,48151,"""Fisher, (TX)""",-1.0,,1,3,2006-2008
76,48153,"""Floyd, (TX)""",-1.0,,1,3,2006-2008
77,48155,"""Foard, (TX)""",-1.0,,1,3,2006-2008
78,48157,"""Fort Bend, (TX)""",-1.0,,1,3,2006-2008
79,48159,"""Franklin, (TX)""",-1.0,,1,3,2006-2008
80,48161,"""Freestone, (TX)""",-1.0,,1,3,2006-2008
81,48163,"""Frio, (TX)""",-1.0,,1,3,2006-2008
82,48165,"""Gaines, (TX)""",-1.0,,1,3,2006-2008
83,48167,"""Galveston, (TX)""",34.6,31.2 - 44.3 (6),1,3,2006-2008
84,48169,"""Garza, (TX)""",-1.0,,1,3,2006-2008
85,48171,"""Gillespie, (TX)""",-1.0,,1,3,2006-2008
86,48173,"""Glasscock, (TX)""",-1.0,,1,3,2006-2008
87,48175,"""Goliad, (TX)""",-1.0,,1,3,2006-2008
88,48177,"""Gonzales, (TX)""",-1.0,,1,3,2006-2008
89,48179,"""Gray, (TX)""",-1.0,,1,3,2006-2008
90,48181,"""Grayson, (TX)""",-1.0,,1,3,2006-2008
91,48183,"""Gregg, (TX)""",-1.0,,1,3,2006-2008
92,48185,"""Grimes, (TX)""",-1.0,,1,3,2006-2008
93,48187,"""Guadalupe, (TX)""",-1.0,,1,3,2006-2008
94,48189,"""Hale, (TX)""",-1.0,,1,3,2006-2008
95,48191,"""Hall, (TX)""",-1.0,,1,3,2006-2008
96,48193,"""Hamilton, (TX)""",-1.0,,1,3,2006-2008
97,48195,"""Hansford, (TX)""",-1.0,,1,3,2006-2008
98,48197,"""Hardeman, (TX)""",-1.0,,1,3,2006-2008
99,48199,"""Hardin, (TX)""",-1.0,,1,3,2006-2008
100,48201,"""Harris, (TX)""",21.1,12.9 - 21.1 (6),1,3,2006-2008
101,48203,"""Harrison, (TX)""",-1.0,,1,3,2006-2008
102,48205,"""Hartley, (TX)""",-1.0,,1,3,2006-2008
103,48207,"""Haskell, (TX)""",-1.0,,1,3,2006-2008
104,48209,"""Hays, (TX)""",-1.0,,1,3,2006-2008
105,48211,"""Hemphill, (TX)""",-1.0,,1,3,2006-2008
