"cnty_fips","display_name","Value","theme_range","dm_prev_adj","ob_prev_adj","ltpia_prev_adj","no_hsdip","no_college","female_hd","foodstmp","home_val","income","GINI","povpct","unemploy"
48103,"""Crane, (TX)""",41,"19.6 - 42.4 (52)",9.1,30.6,23.5,26,88.3,7.4,7.8,81.5,57.4,0.406,10.3,5.3
48105,"""Crockett, (TX)""",49.2,"42.5 - 50.7 (49)",8.7,28,23.1,24.6,91.1,10.2,8.1,80.6,46.6,0.409,16.9,4.6
48107,"""Crosby, (TX)""",56.8,"50.8 - 58.7 (51)",8.6,29,22.3,25,87,14.5,21.4,57.5,35.1,0.468,24.1,4.4
48109,"""Culberson, (TX)""",39.6,"19.6 - 42.4 (52)",9.4,29.4,22.7,36.6,91,17.1,19.5,57,36.7,0.442,23.6,3.6
48111,"""Dallam, (TX)""",43.5,"42.5 - 50.7 (49)",9,31.7,21.9,31.8,87.6,10.9,9.6,77,48.5,0.488,11.3,2.2
48113,"""Dallas, (TX)""",52.7,"50.8 - 58.7 (51)",8.9,28.9,23.5,21.7,69.9,16,15.6,148.3,54.4,0.503,16.3,4
48115,"""Dawson, (TX)""",63.3,"58.8 - 65.8 (50)",9.7,30.1,24.9,27.4,87.3,15,16.4,66.4,41.1,0.493,21.4,5.6
48117,"""Deaf Smith, (TX)""",42.5,"42.5 - 50.7 (49)",8.6,29.1,21.6,27,85.8,9.7,15.8,88,43.9,0.395,17.1,3.2
48119,"""Delta, (TX)""",52.1,"50.8 - 58.7 (51)",9.6,31.4,25.3,14.9,82.6,11.4,13.4,73.1,41.3,0.438,18.5,3.4
48121,"""Denton, (TX)""",51.1,"50.8 - 58.7 (51)",8.6,24.1,18.2,8,56.6,11,5.5,232,80.8,0.435,8.2,3.4
48123,"""DeWitt, (TX)""",72,"65.9 - 103.1 (50)",9.7,29.3,25.1,19.2,86.4,10.4,13.8,100,46.9,0.52,18.2,5.1
48125,"""Dickens, (TX)""",64.3,"58.8 - 65.8 (50)",8.7,28,22.4,19.7,84.8,9.6,12.1,54.2,38.2,0.507,21.8,5.2
48127,"""Dimmit, (TX)""",64.6,"58.8 - 65.8 (50)",8.6,29.1,23.1,35.7,89.9,20.4,26.4,65.2,38.3,0.513,27.6,5.9
48129,"""Donley, (TX)""",47.2,"42.5 - 50.7 (49)",9.2,28.4,21.5,11.2,81.1,10.5,12.9,65.1,38.8,0.442,18.6,3.9
48131,"""Duval, (TX)""",74.4,"65.9 - 103.1 (50)",9,26.9,23.3,32.3,91.3,21,25.4,48.5,34.8,0.485,26.3,8.8
48133,"""Eastland, (TX)""",60.1,"58.8 - 65.8 (50)",8.3,30.5,23.6,17,87.3,9.7,14.8,59.8,37.8,0.523,20,4.9
48135,"""Ector, (TX)""",63.8,"58.8 - 65.8 (50)",8.9,33.1,30.9,25,85,16.7,12,120.8,53.5,0.452,13.9,4.7
48137,"""Edwards, (TX)""",50.7,"42.5 - 50.7 (49)",9,29.6,23.5,25,79.4,4.4,17.2,72.8,36.5,0.469,23.3,3.6
48139,"""Ellis, (TX)""",57,"50.8 - 58.7 (51)",10.5,35.1,25.2,15.2,77.9,11.6,10.1,158.2,69.4,0.412,9.7,3.6
48141,"""El Paso, (TX)""",36.2,"19.6 - 42.4 (52)",10.3,29.5,20.9,23.1,77.8,19.2,22.2,116.6,42,0.462,22.7,4.7
48143,"""Erath, (TX)""",55.6,"50.8 - 58.7 (51)",8.5,27.4,23,14.9,72.2,8.5,9,128.3,43.8,0.485,19.5,3.4
