,cnty_fips,display_name,Value,theme_range,dm_prev_adj,ob_prev_adj,ltpia_prev_adj,povpct,perc_aian,perc_api,perc_black,perc_white,perc_hisp,perc_65up,total_pop,year,Y
55,48111,"""Dallam, (TX)""",16.6,16.1 - 19.9 (51),9.0,31.7,21.9,11.3,1.1,0.8,1.7,51.2,43.8,10.8,7207,2005-2007,119.64
56,48113,"""Dallas, (TX)""",17.9,16.1 - 19.9 (51),8.9,28.9,23.5,16.3,0.1,6.0,22.0,30.2,39.6,10.0,2552213,2005-2007,45684.61
57,48115,"""Dawson, (TX)""",37.0,27.8 - 62.1 (49),9.7,30.1,24.9,21.4,0.3,0.8,5.6,36.2,56.4,14.4,13095,2005-2007,484.52
58,48117,"""Deaf Smith, (TX)""",18.3,16.1 - 19.9 (51),8.6,29.1,21.6,17.1,0.2,0.6,0.7,25.9,71.6,12.0,18947,2005-2007,346.73
59,48119,"""Delta, (TX)""",25.5,23.8 - 27.7 (49),9.6,31.4,25.3,18.5,0.1,0.7,7.9,81.4,6.9,19.9,5172,2005-2007,131.89
60,48121,"""Denton, (TX)""",20.7,20.0 - 23.7 (52),8.6,24.1,18.2,8.2,0.2,7.8,9.0,60.8,19.1,9.2,781321,2005-2007,16173.34
61,48123,"""DeWitt, (TX)""",29.2,27.8 - 62.1 (49),9.7,29.3,25.1,18.2,0.0,0.0,9.0,55.5,34.4,18.9,20474,2005-2007,597.84
62,48125,"""Dickens, (TX)""",19.4,16.1 - 19.9 (51),8.7,28.0,22.4,21.8,0.3,0.0,3.1,68.7,27.6,22.6,2224,2005-2007,43.15
63,48127,"""Dimmit, (TX)""",39.8,27.8 - 62.1 (49),8.6,29.1,23.1,27.6,0.0,0.1,0.0,13.2,86.5,14.7,10822,2005-2007,430.72
64,48129,"""Donley, (TX)""",19.9,16.1 - 19.9 (51),9.2,28.4,21.5,18.6,0.6,0.4,3.6,81.8,10.6,23.4,3433,2005-2007,68.32
