"cnty_fips","display_name","Value","theme_range","dm_prev_adj","ob_prev_adj","ltpia_prev_adj","povpct","perc_aian","perc_api","perc_black","perc_white","perc_hisp","perc_65up","total_pop"
48113,"""Dallas, (TX)""",16.2,"13.5 - 16.5 (49)",8.9,28.9,23.5,16.3,0.1,6,22,30.2,39.6,10,2552213
48115,"""Dawson, (TX)""",24.9,"24.3 - 52.5 (48)",9.7,30.1,24.9,21.4,0.3,0.8,5.6,36.2,56.4,14.4,13095
48117,"""Deaf Smith, (TX)""",16,"13.5 - 16.5 (49)",8.6,29.1,21.6,17.1,0.2,0.6,0.7,25.9,71.6,12,18947
48119,"""Delta, (TX)""",21.6,"20.1 - 24.2 (52)",9.6,31.4,25.3,18.5,0.1,0.7,7.9,81.4,6.9,19.9,5172
48121,"""Denton, (TX)""",18.5,"16.6 - 20.0 (51)",8.6,24.1,18.2,8.2,0.2,7.8,9,60.8,19.1,9.2,781321
48123,"""DeWitt, (TX)""",26,"24.3 - 52.5 (48)",9.7,29.3,25.1,18.2,0,0,9,55.5,34.4,18.9,20474
48125,"""Dickens, (TX)""",13.5,"13.5 - 16.5 (49)",8.7,28,22.4,21.8,0.3,0,3.1,68.7,27.6,22.6,2224
48127,"""Dimmit, (TX)""",30.2,"24.3 - 52.5 (48)",8.6,29.1,23.1,27.6,0,0.1,0,13.2,86.5,14.7,10822
48129,"""Donley, (TX)""",16.5,"13.5 - 16.5 (49)",9.2,28.4,21.5,18.6,0.6,0.4,3.6,81.8,10.6,23.4,3433
48131,"""Duval, (TX)""",27.7,"24.3 - 52.5 (48)",9,26.9,23.3,26.3,0,0.2,1.4,8.9,89.3,18,11434
48133,"""Eastland, (TX)""",26.3,"24.3 - 52.5 (48)",8.3,30.5,23.6,20,0.4,0.2,2.2,79.8,15.9,21.9,18278
48135,"""Ector, (TX)""",23.6,"20.1 - 24.2 (52)",8.9,33.1,30.9,13.9,0.1,1,4.1,34.4,58.7,9.5,155744
48137,"""Edwards, (TX)""",20.5,"20.1 - 24.2 (52)",9,29.6,23.5,23.3,0,0,0,43,56.8,28.5,2111
48139,"""Ellis, (TX)""",17.1,"16.6 - 20.0 (51)",10.5,35.1,25.2,9.7,0.2,0.7,8.9,62.5,25.4,12,164092
48141,"""El Paso, (TX)""",12.4,"4.4 - 13.4 (52)",10.3,29.5,20.9,22.7,0.2,1.1,3,12.4,82.1,11.4,834825
48143,"""Erath, (TX)""",23.2,"20.1 - 24.2 (52)",8.5,27.4,23,19.5,0.4,0.8,1.6,75.3,20.5,13.8,41016
48145,"""Falls, (TX)""",26.4,"24.3 - 52.5 (48)",10.7,32,27.2,25.6,0.2,0.2,24.2,51.5,22.7,17,17289
48147,"""Fannin, (TX)""",13.4,"4.4 - 13.4 (52)",8.9,30.5,24.6,16.1,0.4,0.7,6.4,79.4,10.5,18.8,33787
48149,"""Fayette, (TX)""",16.8,"16.6 - 20.0 (51)",9.3,26.9,20.9,11.1,0,0.7,5.9,71.9,20.4,23.7,24963
48151,"""Fisher, (TX)""",11.6,"4.4 - 13.4 (52)",9,28.2,22.4,15.6,0,0.5,2.8,66.4,29.8,23.5,3875
48153,"""Floyd, (TX)""",16.9,"16.6 - 20.0 (51)",8.9,28.5,22.2,22.8,0.2,0.2,2.5,37.9,57.7,18.5,5953
48155,"""Foard, (TX)""",12.9,"4.4 - 13.4 (52)",9,28.4,22.6,18,0,0,2.1,76.1,21.6,26.6,1414
48157,"""Fort Bend, (TX)""",15.8,"13.5 - 16.5 (49)",9.1,28.6,21.9,8.3,0.1,19.2,20.2,34.3,24.1,9.7,711421
48159,"""Franklin, (TX)""",20,"16.6 - 20.0 (51)",9.2,30.8,26.7,15.8,0.5,0.1,4.5,79.5,13.9,20,10639
48161,"""Freestone, (TX)""",34.1,"24.3 - 52.5 (48)",10,29.7,27.5,19.1,0.1,0.3,16.1,67.5,14.7,19,19646
48163,"""Frio, (TX)""",28.4,"24.3 - 52.5 (48)",8.8,28.6,22.3,25.8,0,0.6,3.5,16.4,78.5,12.3,19110
48165,"""Gaines, (TX)""",11.6,"4.4 - 13.4 (52)",8.5,30.4,26.6,14.6,0.1,0.4,2.2,56.3,40.5,8.6,19889
48167,"""Galveston, (TX)""",24.2,"20.1 - 24.2 (52)",9.8,31.3,23.1,12.9,0.2,3.3,12.5,58,23.9,13.2,321184
48169,"""Garza, (TX)""",23,"20.1 - 24.2 (52)",8.7,27.9,23.7,30,0,0.5,4.4,40.4,53.9,11.3,6739
48171,"""Gillespie, (TX)""",10,"4.4 - 13.4 (52)",9.8,27.1,21.8,9.8,0,0.1,0,75.6,22.5,28.7,25939
48173,"""Glasscock, (TX)""",14.4,"13.5 - 16.5 (49)",9,28,22.5,8.7,0,0,0,59.4,40.5,13.9,1420
48175,"""Goliad, (TX)""",26.2,"24.3 - 52.5 (48)",9.4,30.1,23.4,14.3,0,0.1,5.3,58.6,35.6,21,7510
48177,"""Gonzales, (TX)""",18,"16.6 - 20.0 (51)",9.8,29.2,25.8,17.1,0,0.1,6.6,42.3,50,15.9,20558
48179,"""Gray, (TX)""",18.2,"16.6 - 20.0 (51)",9.6,31.8,23.5,19.4,0.8,0.7,4.2,64.4,27.9,15.8,22962
48181,"""Grayson, (TX)""",16.6,"16.6 - 20.0 (51)",9.1,30.5,25.4,13.2,1.2,1.3,5.5,76.3,12.6,17.2,126146
