cnty_fips,display_name,Value,theme_range,,year
48473,"""Waller, (TX)""",65.5,58.8 - 65.8 (50),,2014-2016
48475,"""Ward, (TX)""",35.9,19.6 - 42.4 (52),,2014-2016
48477,"""Washington, (TX)""",53.2,50.8 - 58.7 (51),,2014-2016
48479,"""Webb, (TX)""",44,42.5 - 50.7 (49),,2014-2016
48481,"""Wharton, (TX)""",69.7,65.9 - 103.1 (50),,2014-2016
48483,"""Wheeler, (TX)""",42.4,19.6 - 42.4 (52),,2014-2016
48485,"""Wichita, (TX)""",57,50.8 - 58.7 (51),,2014-2016
48487,"""Wilbarger, (TX)""",71.4,65.9 - 103.1 (50),,2014-2016
48489,"""Willacy, (TX)""",54.3,50.8 - 58.7 (51),,2014-2016
48491,"""Williamson, (TX)""",42.5,42.5 - 50.7 (49),,2014-2016
48493,"""Wilson, (TX)""",42,19.6 - 42.4 (52),,2014-2016
48495,"""Winkler, (TX)""",42.1,19.6 - 42.4 (52),,2014-2016
48497,"""Wise, (TX)""",62.2,58.8 - 65.8 (50),,2014-2016
48499,"""Wood, (TX)""",45.3,42.5 - 50.7 (49),,2014-2016
48501,"""Yoakum, (TX)""",27.8,19.6 - 42.4 (52),,2014-2016
48503,"""Young, (TX)""",57.9,50.8 - 58.7 (51),,2014-2016
48505,"""Zapata, (TX)""",56.2,50.8 - 58.7 (51),,2014-2016
48507,"""Zavala, (TX)""",59.8,58.8 - 65.8 (50),,2014-2016
