"","cnty_fips","display_name","Y","theme_range","X","year","E","SIR"
"89",48177,"""Gonzales, (TX)""",41,"19.6 - 42.4 (52)",NA,"2014-2016",54.4850393700787,0.75
"90",48179,"""Gray, (TX)""",79.8,"65.9 - 103.1 (50)",NA,"2014-2016",54.4850393700787,1.46
"91",48181,"""Grayson, (TX)""",70.7,"65.9 - 103.1 (50)",NA,"2014-2016",54.4850393700787,1.3
"92",48183,"""Gregg, (TX)""",65.6,"58.8 - 65.8 (50)",NA,"2014-2016",54.4850393700787,1.2
"93",48185,"""Grimes, (TX)""",57.5,"50.8 - 58.7 (51)",NA,"2014-2016",54.4850393700787,1.06
"94",48187,"""Guadalupe, (TX)""",41,"19.6 - 42.4 (52)",NA,"2014-2016",54.4850393700787,0.75
"95",48189,"""Hale, (TX)""",57.1,"50.8 - 58.7 (51)",NA,"2014-2016",54.4850393700787,1.05
"96",48191,"""Hall, (TX)""",64.3,"58.8 - 65.8 (50)",NA,"2014-2016",54.4850393700787,1.18
"97",48193,"""Hamilton, (TX)""",79.4,"65.9 - 103.1 (50)",NA,"2014-2016",54.4850393700787,1.46
"98",48195,"""Hansford, (TX)""",33.7,"19.6 - 42.4 (52)",NA,"2014-2016",54.4850393700787,0.62
"99",48197,"""Hardeman, (TX)""",46.7,"42.5 - 50.7 (49)",NA,"2014-2016",54.4850393700787,0.86
"100",48199,"""Hardin, (TX)""",60.2,"58.8 - 65.8 (50)",NA,"2014-2016",54.4850393700787,1.1
"101",48201,"""Harris, (TX)""",59,"58.8 - 65.8 (50)",NA,"2014-2016",54.4850393700787,1.08
"102",48203,"""Harrison, (TX)""",73.7,"65.9 - 103.1 (50)",NA,"2014-2016",54.4850393700787,1.35
"103",48205,"""Hartley, (TX)""",54.2,"50.8 - 58.7 (51)",NA,"2014-2016",54.4850393700787,0.99
"104",48207,"""Haskell, (TX)""",44.4,"42.5 - 50.7 (49)",NA,"2014-2016",54.4850393700787,0.81
"105",48209,"""Hays, (TX)""",46.6,"42.5 - 50.7 (49)",NA,"2014-2016",54.4850393700787,0.86
"106",48211,"""Hemphill, (TX)""",38.1,"19.6 - 42.4 (52)",NA,"2014-2016",54.4850393700787,0.7
"107",48213,"""Henderson, (TX)""",68.5,"65.9 - 103.1 (50)",NA,"2014-2016",54.4850393700787,1.26
"108",48215,"""Hidalgo, (TX)""",53.4,"50.8 - 58.7 (51)",NA,"2014-2016",54.4850393700787,0.98
"109",48217,"""Hill, (TX)""",63.1,"58.8 - 65.8 (50)",NA,"2014-2016",54.4850393700787,1.16
"110",48219,"""Hockley, (TX)""",64.5,"58.8 - 65.8 (50)",NA,"2014-2016",54.4850393700787,1.18
"111",48221,"""Hood, (TX)""",38.9,"19.6 - 42.4 (52)",NA,"2014-2016",54.4850393700787,0.71
"112",48223,"""Hopkins, (TX)""",59.3,"58.8 - 65.8 (50)",NA,"2014-2016",54.4850393700787,1.09
"113",48225,"""Houston, (TX)""",58.8,"58.8 - 65.8 (50)",NA,"2014-2016",54.4850393700787,1.08
"114",48227,"""Howard, (TX)""",73.9,"65.9 - 103.1 (50)",NA,"2014-2016",54.4850393700787,1.36
"115",48229,"""Hudspeth, (TX)""",34.9,"19.6 - 42.4 (52)",NA,"2014-2016",54.4850393700787,0.64
